pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass
K2-177 b,K2-177,Transit,14.155185,,2.1162048,,6063,1.213565,1.210525
K2-178 b,K2-178,Transit,8.747818,,3.55790985,840.29,5525,0.887267,0.95109
K2-179 b,K2-179,Transit,5.172191,,2.51267885,,5015,0.768067,0.824345
K2-18 b,K2-18,Transit,32.939623,0.1429,2.37,284,3457,0.411,0.359
K2-18 c,K2-18,Radial Velocity,8.962,0.06,2.65,363,3457,0.411,0.359
K2-180 b,K2-180,Transit,8.865663,0.0756,2.46597575,797.5,5365,0.719,0.735
K2-181 b,K2-181,Transit,6.8941,0.0706,2.69,949,5528,1.06,0.96
K2-182 b,K2-182,Transit,4.7369696,0.05174,2.71257333,965.8,5128,0.789,0.823
K2-183 b,K2-183,Transit,0.469285,,1.1,,5482,0.87,0.942219
K2-183 c,K2-183,Transit,10.787992,0.0932,2.3,787,5482,0.87,0.942219
K2-183 d,K2-183,Transit,22.620344,0.1527,2.3,615,5482,0.87,0.942219
K2-184 b,K2-184,Transit,16.9780102,0.1685,1.47,533,5245,0.75,0.84
K2-185 b,K2-185,Transit,10.616384,,1.15,809,5788,0.94,0.96
K2-185 c,K2-185,Transit,52.713494,,2.39,477,5788,0.94,0.96
K2-186 b,K2-186,Transit,41.474219,,3.17207779,,5784,0.98083,1.018617
K2-187 b,K2-187,Transit,0.77401,0.0164,1.2,1815,5438,0.83,0.966999
K2-187 c,K2-187,Transit,2.871512,0.0392,1.4,1173,5438,0.83,0.966999
K2-187 d,K2-187,Transit,7.149584,0.072,2.4,865,5438,0.83,0.966999
K2-187 e,K2-187,Transit,13.606629,0.1106,1.9,698,5438,0.83,0.966999
K2-188 b,K2-188,Transit,1.742169,0.0289,1.35,1692,5977,1.19,1.06
K2-188 c,K2-188,Transit,7.810253,0.0785,2.83,1026,5977,1.19,1.06
K2-189 b,K2-189,Transit,2.58812,0.0361,1.403,1203,5442,0.879,0.85
K2-189 c,K2-189,Transit,6.67932,0.068,2.31,877,5442,0.879,0.85
K2-19 b,K2-19,Transit,7.9222,0.074,7,779,5322,0.82,0.88
K2-19 c,K2-19,Transit,11.8993,0.0971,4.1,679,5322,0.82,0.88
K2-19 d,K2-19,Transit,2.5081,0.0344,1.11,1142,5322,0.82,0.88
K2-190 b,K2-190,Transit,10.098858,,1.35673729,,5631,0.912206,0.904597
K2-190 c,K2-190,Transit,21.574023,,1.09308317,,5631,0.912206,0.904597
K2-191 b,K2-191,Transit,2.858646,,1.57889322,,5176,0.839696,0.900994
K2-192 b,K2-192,Transit,4.162817,0.049,1.52,939,5222,0.81,0.9
K2-193 b,K2-193,Transit,14.786889,0.1184,3.95,739,5817,0.98,1.01
K2-194 b,K2-194,Transit,39.721386,,3.64229858,,5979,1.281115,1.110086
K2-195 b,K2-195,Transit,15.852975,0.1208,3.13,720,5713,0.99,0.94
K2-195 c,K2-195,Transit,28.482786,,2.57581891,,5712,0.906367,0.963364
K2-196 b,K2-196,Transit,48.324222,,3.59970536,,6045,1.538801,1.162095
K2-197 b,K2-197,Transit,8.357881,0.0806,2.56,848,5667,0.93,1
K2-198 b,K2-198,Transit,17.0428683,,4.189,715.8,5212.9,0.757,0.799
